	en	fr	es	el	it	de
navbar_tools	Tools	Outils	Herramientas	Εργαλεία	Utensili	Werzeuge
navbar_twitter_sna	X (ex-Twitter) SNA.	X (ex-Twitter) SNA.	X (ex-Twitter) SNA.	X (ex-Twitter) SNA.	X (ex-Twitter) SNA.	X (ex-Twitter) SNA.
navbar_twitter_sna_description	It performs social network analysis on previous Twitter content (available on registration; not fetching new tweets since July 1st, 2023)	Fournit un outil d'analyse de réseau social sur du contenu Twitter (sur enregistrement, ne récupère plus de tweets depuis le 1er juillet 2023)	Provee una herramiento de análisis de redes sociales en Twitter (disponible con registro; no recupera ya tuits desde el 1 de julio 2023)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (διαθέσιμο κατά την εγγραφή, δεν ανακτά πλέον tweets από την 1η Ιουλίου 2023)	Esegue l'analisi dei social network su Twitter (disponibile sulla registrazione; non recupera più i tweet dal 1 luglio 2023).	Es führt eine Social-Network-Analyse von bisherigen Twitter-Inhalten durch (verfügbar nach Registrierung; ruft seit dem 1. Juli 2023 keine neuen Tweets mehr ab).
navbar_csv_sna	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.
navbar_csv_sna_description	It performs social network analysis from Crowdtangle export	Fournit un outil d'analyse de réseau social à partir d'export de Crowdtangle	Provee una herramiento de análisis de redes sociales de Crowdtangle	Η ανάλυση των κοινωνικών δικτύων στο Crowdtangle (διαθέσιμο κατά την εγγραφή)	Esegue l'analisi dei social network da crowdtangle export	Es führt eine Analyse sozialer Netzwerke aus einem Crowdtangle-Export durch.
navbar_factcheck	Factchecks	Factchecks	Factchecks	Ελέγχοι	Factchecks
navbar_factcheck_description	 It provides a customised search engine of Factchecks.	Un moteur de recherche personnalisé pour retrouver des factchecks.	Un motor personalizado de búsqueda de chequeos. 	Μια προσαρμοσμένη μηχανή αναζήτησης σε ένταξη και debunks.	Un motore di ricerca personalizzato per trovare factchecks	Es bietet eine individuelle Suchmaschine von FaktenChecks.
navbar_xnetwork	XNetwork	XNetwork	XNetwork	XNetwork	XNetwork.	XNetwork.
navbar_xnetwork_description	It provides a customised search engine for cross-network queries. 	Un moteur de recherche personnalisé pour les requêtes transversales entre plusieurs réseaux.	Un motor de búsqueda personalizado para consultas entre redes.	Μια προσαρμοσμένη μηχανή αναζήτησης για ερωτήματα cross-δίκτυο.	Un motore di ricerca personalizzato per interrogazioni su più reti	Es bietet eine maßgeschneiderte Suchmaschine für netzübergreifende Suchanfragen.
close	Close	Fermer	Cerrar	Κλείσιμο	Vicino	Schließen
category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων	Analisi dei dati	Datenanalyse
category_search	Search	Recherche	Busqueda	Αναζήτηση	Ricerca	Suche
