	en	fr	es	el	it	ar
sna_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione	الجدول الزمني للانتشار
sna_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale	التوقيت المحلي
shared_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι από κοινού οι χρήστες	Utenti più condivisi	أكثر المستخدمين مشاركة
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	La mayoría de los usuarios gustado	Χρήστες που εχουν γίνεi περισσότερο like	Gli utenti più piatti	أكثر المستخدمين إعجاباً
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Utenti più attivi	أكثر المستخدمين تفاعلاً
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Conti più menzionati	أكثر المستخدمين ذكراً
sna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Nascondere	إخفاء
sna_result_download	Download	Télécharger	Descargar	Λήψη	Scarica	تنزيل
ct_sna_title	Facebook & Instagram CSV analysis	Analyse CSV Facebook et Instagram	Análisis CSV de Facebook e Instagram	Ανάλυση CSV Facebook & Instagram	Analisi di Facebook e Instagram CSV	تحليل CSV لفيسبوك وإنستغرام
twitter_sna_title	Twitter Social network analysis (beta)	Analyse des réseaux sociaux sur Twitter (beta)	Twitter Análisis de redes sociales (beta)	Ανάλυση κοινωνικού δικτύου Twitter (beta)	Twitter Analisi di social network (beta)	تحليل شبكة تويتر الاجتماعية (تجريبي)
sna_result_selected_posts	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Tweet selezionati	تغريدات مختارة
